index,content,industry
0,"It’s ironic that my coffeemaker would give up the ghost the same week I’m driving the all-new 2019 Hyundai Kona, a vehicle as satisfying as the cup of coffee it brings to mind. The question is, is it a Braun or a Keurig?From a looks standpoint, it’s a Braun, albeit a new one. There’s little sense of classicism here, merely an over-caffeinated design that wears its cheap gray plastic cladding reminiscent of a Pontiac Aztek. Couple that with an over-caffeinated headlight design, a large aggressive grille, swoopy side sculpting, bulging wheel arches and the cliched blacked-out rear roof pillars, and you’ll wonder if Homer Simpson - or someone at De’Longhi - designed it.It cloaks a perfectly ingratiating subcompact crossover, one that starts at a reasonable $21,035. Offered in SE and SEL trim with a 147-horsepower 2.0-liter engine mated to a six-speed automatic transmission, it’s also available in plusher Limited, Ultimate and Iron Man trim (the latter being finished in gray and red) starting at $26,595, and fitted with a 174-horsepower 1.6-liter four mated to a seven-speed dual-clutch transmission.",automotiveEngineering
1,"BEACON, N.Y. - I had arrived at the Roundhouse, a former manufacturing facility in Beacon, New York, a small town once known for its hat manufacturing. This facility, like many others in town, had been converted into something else, in this case, a trendy postmodern chic hotel that made me appreciative that I wasn’t staying at some generic chain hotel. My room had large picture windows overlooking picturesque man-made rapids. All was great. I had traveled here to explore the back roads of the Hudson Valley and its many wonderful small towns. I decided to flop onto the bed and finalize where to drive. This is when my love affair of the hotel came to a crashing halt. In an era where people are trading in their sedans for crossovers, mainly due to its elevated seating height and ease of getting in and out, some out-of-touch, brain-dead designer thinks that a bed an inch off the floor is glamorous. It’s not. Instead, it makes you feel like some poverty-stricken slob sleeping on the floor.Nevertheless, once grounded on the mattress, I surveyed where I should drive.I could go to Hyde Park and visit President Roosevelt’s home. Nope. Been there. Then there’s the Vanderbilt Mansion; too bad I’ve toured it already. On and on it went until I realized I had never been to the Culinary Institute of America, where the nation’s finest chefs get trained. A day or two of tackling the twisties capped by a fabulous gourmet meal would be fun - especially since I would be driving the 2019 Chevrolet Blazer.",automotiveEngineering
2,"Street style blogger-turned-entrepreneur Chiara Ferragni has partnered with Lancôme to launch her first makeup collaboration with the beauty company. Announced earlier this week on Instagram, the collection comprises of a lip and face palette, three exclusive shades of the L’Absolu Mademoiselle Shine lipstick, a trio of the L’Absolu Lacquer lippie and a limited-edition Hypnôse Drama mascara — all designed with pink packaging and the winking eye motif signature to The Blonde Salad brand.“I wanted to create a makeup collection that is 100-percent my style,” Ferragni speaks of her new product launch in a press release. “This is the reason why I joined forces with Lancôme. We worked on a product and communication that is relevant for the girls of my generation.”Drawing inspiration from Ferragni’s go-to makeup looks and action-packed lifestyle, the Flirting Palette is made up of four lipstick shades, four eyeshadows, one rosy blush, three shimmering highlighters, a lip gloss and three blushes, allowing beauty enthusiasts to create different looks according to their mood. In addition to its attractive, glittery pink cover, the palette is also designed with a large mirror on the inside, making it a travel-friendly option.",cosmetics
3,"Celebrity chef Jamie Oliver's British restaurant chain has become insolvent, putting 1,300 jobs at risk. The firm said Tuesday that it had gone into administration, a form of bankruptcy protection, and appointed KPMG to oversee the process.The company operates 23 Jamie's Italian restaurants in the U.K. The company had been seeking buyers amid increased competition from casual dining rivals, according to The Guardian. Oliver began his restaurant empire in 2002 when he opened Fifteen in London. Oliver, known around the world for his cookbooks and television shows, said he was ""deeply saddened by this outcome and would like to thank all of the staff and our suppliers who have put their hearts and souls into this business for over a decade. ""He said ""I appreciate how difficult this is for everyone affected."" I’m devastated that our much-loved UK restaurants have gone into administration.",cateringServices
4,"The Buick LaCrosse, like the Chevrolet Impala and Volt, and Cadillac XTS, will soon be no more. None of them are bad full-size sedans by any means, it’s just that no one wants to buy them anymore. Crossover SUVs are the reason why. So it goes. In order to make room on dealership lots for the 2020 crossover lineup, Buick is anxious to liquidate what’s left of LaCrosse stock, and that means one major thing: discounts.The premium automaker is offering a new rebate that takes 16% off the LaCrosse’s sticker price. In some situations, that means up to $8,000 off. This new incentive is nationwide and is applicable to most 2019 LaCrosse sedans. What does ""most” mean in this case? That’s actually a bit unclear but what we do know is that buyers must use GM Financial in order to get this offer. We wouldn’t be surprised if Buick is applying this offer to select LaCrosse trims with the most overstock.",automotiveEngineering
5,"The Audi Q8 isn’t the fastest luxury SUV in the world, but it may be one of the quickest around town.Not because of its 335 hp turbocharged V6 and all-wheel-drive, but because it can help you avoid red lights. At least some of them.The Q8 is equipped with the latest version of Audi’s Traffic Light Information system (TLI), which taps into a city’s traffic control system and knows exactly when the lights are going to change. This data is useful in a few ways.First, when you’re stopped at a red light, the car displays a countdown to when it will turn green, which takes away the sometimes frustrating uncertainty and allows you to make better use of your time than staring at the light in anticipation. The timer turns off when there are four seconds left to encourage you to reengage with the road ahead as the light goes green, so you don’t run into anything when you do.",automotiveEngineering
6,"Rappers like Cardi B and Kanye West get lots of crap from automotive enthusiasts for a perceived lack of taste, but truth is, these music visionaries may be onto something: The 2019 Lamborghini Urus may very well be one of the best vehicles to ever wear the famed prancing bull on its nose.Lamborghinis, from the famed Countach up to the modern-day Aventador, have been many things—fast, expensive, and beautifully styled—but easy to drive has never been one of them. The closest Lambo has come is with the Huracan. I chaperoned our long-term Huracan (yes, I said long-term) during its stay with us, and while it's the closest Lambo had ever come to building a car an owner could daily drive, its tight cabin, tiny trunk, and lack of visibility meant it couldn't challenge something like a Porsche 911 or Chevrolet Corvette in terms of performance and everyday comfort.",automotiveEngineering
7,"Mercedes-Benz is currently engaging in a pocket rocket assault, debuting a slew of new sub-compact models. We've already seen the new A-Class and CLA in their base forms and performance-oriented AMG 35 variants with over 300 horsepower. There are also more hardcore AMG 45 variants on the way, which will pack over 400 hp.Mercedes is also planning a brand-new SUV called the GLB, which will be based on the same platform as the A-Class and CLA and will come in an AMG 35 flavor as well. But the GLB won't be the only sub-compact crossover in the Mercedes lineup. Autocar reports that another nameplate is set to come back with massive improvements.The new MFA platform will also spawn a second generation GLA, which will sit below the GLB and compete against the Audi Q3, BMW X1, and Volvo XC40. Autocar says the new GLA will make its debut later this year at the 2019 Frankfurt Motor Show in September. Unlike the GLB, which adopts a boxy, G-Wagon-inspired aesthetic, the GLA will retain its more curvaceous shape.",automotiveEngineering
8,"This is part of NRN’s special coverage of the 2019 NRA Show, being held in Chicago, May 18-21. Visit NRN.com for the latest coverage from the show, plus follow us on Twitter and Facebook. “This really is the Academy Awards of Food,” said Liz Matthew, global chief food innovation officer for Taco Bell as she accepted the MenuMasters Award for best new item for the chain’s Nacho Fries. At a gala event sponsored by Ventura Foods and hosted by Nation’s Restaurant News at the Drake Hotel in Chicago Saturday, culinary innovators were fêted as attendees enjoyed the winners’ food paired with beverages selected by the hotel’s staff — or with Champagne handed out by Jeremiah Tower, the chef and former owner of Stars in San Francisco, who was inducted into the MenuMasters Hall of Fame. It was Tower’s custom at the famed restaurant in the 1980s and ’90s to greet guests with Champagne.",cateringServices
9,"(CNN) -- Celebrity chef Jamie Oliver's restaurant empire in the United Kingdom has collapsed. The entrepreneur and anti-junk food campaigner said Tuesday that the restaurant business was being placed into administration, or bankruptcy protection. The group includes Jamie's Italian chain, Jamie Oliver's Diner at Gatwick Airport as well as steakhouse Barbecoa and Fifteen London, a restaurant Oliver started in 2002 to train young unemployed people. KPMG, which has been appointed administrator, said in a statement that 22 of the group's 25 restaurants have closed, with the loss of about 1,000 jobs. ""Both Jamie's Italian restaurants and Jamie Oliver's Diner at Gatwick Airport will continue to trade in the short term while the joint administrators explore options for the site,"" KPMG added. Oliver's international restaurants, including branches of Jamie's Italian, as well as Jamie's Pizzeria and Jamie's Deli, will continue to run as normal.",cateringServices
